0 0.000000000000000e+00 1.000000000000000e+00 -1.222610873609065e-21 -1.227839886648335e-22  6.130916450616339e-22 -4.998180181860072e-22  1.013229875053773e-23 -2.411027520264396e-22 -1.134680005772534e-21  2.750114806363881e-22 -4.433756970840285e-23 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 
10 1.000000000000000e+01 1.000000000000000e+00 3.316926885494500e-11 4.118911585863547e-10 2.019115968901647e-10 -3.978568914436154e-11 -3.031279957947571e-10 -3.040583394171403e-10 2.815354342295338e-11 3.388283031188126e-10 2.699587269385322e-10 -2.788542700331645e-09  1.860527347213079e-10  1.150325701568198e-10  1.860527347213079e-10 -3.124839964982580e-09  1.738498185081921e-11 1.150325701568198e-10 1.738498185081921e-11 1.000000000000000e-08 6.834528082024558e-25 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.510350648449847e-08 
20 2.000000000000000e+01 1.000000000000000e+00 7.820771383656381e-11 8.535363208290322e-10 4.153577580416763e-10 -8.866522722603616e-11 -6.357747085569392e-10 -6.226618569483936e-10 6.983379655318165e-11 7.029531668801701e-10 5.575669947168112e-10 -5.560097857694326e-09  3.824355468018094e-10  2.425957772976897e-10  3.824355468018094e-10 -6.274080280089062e-09  4.014565496587129e-11 2.425957772976897e-10 4.014565496587129e-11 2.000000000000001e-08 1.365665885975014e-24 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 5.016147715363053e-08 
30 3.000000000000000e+01 1.000000000000000e+00 1.227655171446833e-10 1.303060048671952e-09 6.370498130139013e-10 -1.370456431853671e-10 -9.764459082000960e-10 -9.493838274659119e-10 1.110535318349469e-10 1.074717485333524e-09 8.536803910529630e-10 -8.329667169448722e-09  5.830072027436040e-10  3.740516724246848e-10  5.830072027436040e-10 -9.428878594794735e-09  6.266682893378921e-11 3.740516724246848e-10 6.266682893378921e-11 3.000000000000000e-08 2.047281550660219e-24 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 7.519750459108325e-08 
40 4.000000000000000e+01 1.000000000000000e+00 1.668365382828137e-10 1.760708451457045e-09 8.672434478230392e-10 -1.849201544354652e-10 -1.325391891877040e-09 -1.284476391274690e-09 1.518066151075874e-10 1.454366622522960e-09 1.158555353591816e-09 -1.109718240917432e-08  7.878941485111015e-10  5.095250314655741e-10  7.878941485111015e-10 -1.258941083933541e-08  8.494511562411807e-11 5.095250314655741e-10 8.494511562411807e-11 4.000000000000000e-08 2.728281789690236e-24 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.002109271877330e-07 
50 5.000000000000000e+01 1.000000000000000e+00 2.104145966403642e-10 2.226734925324851e-09 1.106201701992633e-09 -2.322819162782408e-10 -1.682870273279354e-09 -1.628199034422665e-09 1.920868720132190e-10 1.842153226066015e-09 1.472455676636206e-09 -1.386257325713390e-08  9.972265045236169e-10  6.491442870031870e-10  9.972265045236169e-10 -1.575585812705485e-08  1.069770958216578e-10 6.491442870031870e-10 1.069770958216578e-10 5.000000000000000e-08 3.408648073754447e-24 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.252010643542785e-07 
60 6.000000000000000e+01 1.000000000000000e+00 2.534937563146206e-10 2.701400439284509e-09 1.354195014006050e-09 -2.791243079604696e-10 -2.049146310973916e-09 -1.980818590693139e-09 2.318883729847554e-10 2.238337515313576e-09 1.795652554657179e-09 -1.662576700283356e-08  1.211138065662332e-09  7.930416934956638e-10  1.211138065662332e-09 -1.892840707012333e-08  1.287594623102015e-10 7.930416934956638e-10 1.287594623102015e-10 5.999999999999999e-08 4.088361353743236e-24 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.501672164089843e-07 
70 7.000000000000000e+01 1.000000000000000e+00 2.960677581204582e-10 3.184973309703349e-09 1.611501502690128e-09 -3.254403663975387e-10 -2.424492623157781e-09 -2.342609580982014e-09 2.712048646157397e-10 2.643187053863463e-09 2.128424865034493e-09 -1.938668903101829e-08  1.429766471653217e-09  9.413531836531950e-10  1.429766471653217e-09 -2.210724941229777e-08  1.502887364407073e-10 9.413531836531950e-10 1.502887364407073e-10 6.999999999999999e-08 4.767402040887858e-24 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.751086638482109e-07 
80 8.000000000000000e+01 1.000000000000000e+00 3.381305685076910e-10 3.677729716898358e-09 1.878406991818649e-09 -3.712233293901870e-10 -2.809189761068454e-09 -2.713854186792523e-09 3.100303192736380e-10 3.056977266936211e-09 2.471059192556584e-09 -2.214526226564966e-08  1.653253193754397e-09  1.094218655546404e-09  1.653253193754397e-09 -2.529258259522704e-08  1.715615400718268e-10 1.094218655546404e-09 1.715615400718268e-10 8.000000000000000e-08 5.445750005039536e-24 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.000246672832039e-07 
90 9.000000000000000e+01 1.000000000000000e+00 3.796760542434253e-10 4.179953617607108e-09 2.155205193862216e-09 -4.164663122892532e-10 -3.203526066581481e-09 -3.094842486863202e-09 3.483586091057922e-10 3.479991354006023e-09 2.823850012335701e-09 -2.490140744217798e-08  1.881743652659239e-09  1.251781901484265e-09  1.881743652659239e-09 -2.848460956300412e-08  1.925744335713938e-10 1.251781901484265e-09 1.925744335713938e-10 8.999999999999999e-08 6.123384561821220e-24 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.249144669681737e-07 
100 1.000000000000000e+02 1.000000000000000e+00 4.206980290651489e-10 4.691936785846147e-09 2.442197736031520e-09 -4.611623569472622e-10 -3.607797746652975e-09 -3.485872447365098e-09 3.861835541650772e-10 3.912520329403443e-09 3.187099717583975e-09 -2.765504305283425e-08  2.115387214449753e-09  1.414190645098560e-09  2.115387214449753e-09 -3.168353882855361e-08  2.133239410191556e-10 1.414190645098560e-09 2.133239410191556e-10 9.999999999999998e-08 6.800284470676554e-24 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.497772827286332e-07 
