364
53
470
0	 3.946574951895820e+02 -1.900167516793939e+02  4.000000000000000e+03	 2.780787297524512e-03  2.780787297524512e-03 -3.126980539622602e-19	1.000000000000000e+00	669	1	0
1	1.000000000000000e+03 4.153257531310242e+02 4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	669	1	1
2	1.000000000000000e+03 1.000000000000000e+03 3.415325753131025e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	669	1	2
4	-1.000000000000000e+03 -1.470455178349308e+02  3.709665878158721e+03	-9.151792843553608e-07 -3.330446894267425e-06 -2.415267537969612e-06	3.164062500000000e-01	669	1	4
5	-1.000000000000000e+03 -1.000000000000000e+03  2.856711395993652e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	669	1	5
7	6.253289421048238e+02 1.000000000000000e+03 1.842815807905837e+03	4.275798331946135e-03 9.638994588860756e-20 4.275798331946135e-03	1.000000000000000e+00	669	1	7
8	1.000000000000000e+03 1.000000000000000e+03 2.217486865801013e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	669	1	8
9	 1.000000000000000e+03 -7.825131341989875e+02  4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	669	1	9
10	 7.825131341989878e+02 -1.000000000000000e+03  4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	669	1	10
11	 6.272721060165838e+01 -1.000000000000000e+03  3.280214076402671e+03	3.825297462753952e-03 2.695751133828811e-18 3.825297462753950e-03	1.000000000000000e+00	669	1	11
13	 1.000000000000000e+03 -8.865608922057086e+02  0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	679	1	13
14	 8.865608922057086e+02 -1.000000000000000e+03  0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	679	1	14
15	 2.922477008931267e+02 -1.000000000000000e+03  5.943131913125819e+02	 8.524964330717920e-03  1.796151935371715e-18 -8.524964330717921e-03	1.000000000000000e+00	679	1	15
17	-4.320901935349040e+02 -1.000000000000000e+03  4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	552	1	17
18	-6.670181818873733e+01 -1.000000000000000e+03  3.634611624653833e+03	-5.843236343935132e-03  7.327261032410923e-19  5.843236343935132e-03	1.000000000000000e+00	552	1	18
20	-1.000000000000000e+03  1.000000000000000e+03  2.001112190757930e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	571	1	20
21	-1.000000000000000e+03 -1.000000000000000e+03  1.112190757929056e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	571	1	21
23	-1.000000000000000e+03 -2.993360905419495e+02  7.336506655927117e+02	 1.640973451367637e-19  4.138245945796371e-03 -4.138245945796371e-03	1.000000000000000e+00	643	1	23
24	-1.000000000000000e+03  4.343145750507622e+02  0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	643	1	24
26	1.000000000000000e+03 4.650430584453338e+02 2.651568237276361e+03	-8.390505718576589e-18  8.734173723496498e-03  8.734173723496497e-03	1.000000000000000e+00	26	1	26
27	1.000000000000000e+03 1.000000000000000e+03 3.186525178831027e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	26	1	27
28	6.146308347007197e+02 1.000000000000000e+03 2.801156013531747e+03	 9.765376569703221e-03 -1.555862566985110e-18  9.765376569703221e-03	1.000000000000000e+00	26	1	28
30	1.000000000000000e+03 1.000000000000000e+03 6.066976182580577e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	666	1	30
31	1.000000000000000e+03 3.933023817419428e+02 0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	666	1	31
32	8.277737242988753e+02 2.210761060408175e+02 0.000000000000000e+00	1.624203892424703e-02 1.624203892424703e-02 7.175949966592743e-19	1.000000000000000e+00	666	1	32
33	1.000000000000000e+03 9.537068828604052e+02 2.093412002730898e+03	-5.274661709441942e-19  8.002079790458083e-03  8.002079790458083e-03	1.000000000000000e+00	669	1	33
34	 1.000000000000000e+03 -1.000000000000000e+03  1.397051198704921e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	669	1	34
35	-1.000000000000000e+03 -1.000000000000000e+03  2.139705119870493e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	669	1	35
36	-1.000000000000000e+03  2.132070315475326e+02  3.352912151418025e+03	-4.837986708516205e-20 -1.745932153426111e-03 -1.745932153426111e-03	1.000000000000000e+00	669	1	36
37	-5.395224740453357e+02  2.679934700697016e+02  1.091772870152029e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	55	0	37
38	 2.192031021678291e+02 -4.907321061434644e+02  2.609224022578360e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	55	0	38
39	-1.088944443027284e+02 -1.626345596729054e+02  2.937321569048918e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	55	0	39
