391
49
480
0	 3.603700369481980e+02 -2.243042099207779e+02  4.000000000000000e+03	-1.524779479950666e-02 -1.524779479950667e-02 -5.951780253149513e-19	1.000000000000000e+00	43	1	0
1	1.000000000000000e+03 4.153257531310242e+02 4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	43	1	1
2	1.000000000000000e+03 1.000000000000000e+03 3.415325753131025e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	43	1	2
3	-5.289414096935185e+02  1.000000000000000e+03  1.886384343437506e+03	 7.735604503977812e-04 -2.826010863801704e-19  7.735604503977811e-04	1.000000000000000e+00	43	1	3
4	-1.000000000000000e+03 -4.447321507992363e+01  3.812238180913728e+03	 6.913173926395909e-19 -5.387201439589262e-03 -5.387201439589262e-03	1.000000000000000e+00	4	1	4
5	-1.000000000000000e+03 -1.000000000000000e+03  2.856711395993652e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	4	1	5
6	 2.995355220383740e+02 -1.000000000000000e+03  1.557175873955278e+03	-1.762743322615279e-03  1.646626022304781e-19  1.762743322615279e-03	1.000000000000000e+00	4	1	6
7	5.549508916736565e+02 1.000000000000000e+03 1.772437757474670e+03	-2.830577897839248e-03  1.237006155855372e-19 -2.830577897839248e-03	1.000000000000000e+00	7	1	7
8	1.000000000000000e+03 1.000000000000000e+03 2.217486865801013e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	7	1	8
9	 1.000000000000000e+03 -7.825131341989875e+02  4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	7	1	9
10	 7.825131341989878e+02 -1.000000000000000e+03  4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	7	1	10
11	 2.821936211752015e+01 -1.000000000000000e+03  3.245706227918532e+03	-1.873734081164002e-02 -6.527565697350182e-20 -1.873734081164002e-02	1.000000000000000e+00	7	1	11
12	 1.000000000000000e+03 -1.346693307468279e+02  7.518915614588807e+02	1.267372176425106e-18 9.065891616046429e-03 9.065891616046429e-03	1.000000000000000e+00	12	1	12
13	 1.000000000000000e+03 -8.865608922057086e+02  0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	12	1	13
14	 8.865608922057086e+02 -1.000000000000000e+03  0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	12	1	14
15	 1.165656862256078e+02 -1.000000000000000e+03  7.699952059801008e+02	 1.203747029649094e-03  1.824491845239267e-19 -1.203747029649094e-03	1.000000000000000e+00	12	1	15
16	 3.926706777773025e+02 -1.752391286877934e+02  4.000000000000000e+03	-5.336039699614047e-03 -5.336039699614049e-03 -4.159078915361467e-18	1.000000000000000e+00	16	1	16
17	-4.320901935349040e+02 -1.000000000000000e+03  4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	16	1	17
18	-6.830724580595908e+01 -1.000000000000000e+03  3.636217052271055e+03	 1.839942019432783e-02  1.442186323701785e-18 -1.839942019432783e-02	1.000000000000000e+00	16	1	18
19	6.593710691195163e+02 1.000000000000000e+03 3.660483259877446e+03	3.920596791431308e-03 8.250927460053446e-19 3.920596791431308e-03	1.000000000000000e+00	19	1	19
20	-1.000000000000000e+03  1.000000000000000e+03  2.001112190757930e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	19	1	20
21	-1.000000000000000e+03 -1.000000000000000e+03  1.112190757929056e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	19	1	21
22	 1.856514490298507e+02 -1.000000000000000e+03  1.186763639787780e+03	7.696668442804366e-03 7.833027480984844e-19 7.696668442804366e-03	7.500000000000000e-01	19	1	22
23	-1.000000000000000e+03 -3.515163596161245e+02  7.858309346668867e+02	-1.220434702537258e-19 -1.299585960805416e-02  1.299585960805416e-02	1.000000000000000e+00	23	1	23
24	-1.000000000000000e+03  4.343145750507622e+02  0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	23	1	24
25	 3.419851523807664e+02 -9.076705773300041e+02  0.000000000000000e+00	-9.811808005906641e-03  9.811808005906641e-03  3.262199669289716e-18	1.000000000000000e+00	23	1	25
26	1.000000000000000e+03 2.823714138645168e+02 2.468896592695544e+03	-8.796523982596066e-20  2.883343549910933e-03  2.883343549910932e-03	1.000000000000000e+00	26	1	26
27	1.000000000000000e+03 1.000000000000000e+03 3.186525178831027e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	26	1	27
28	4.339807538995164e+02 1.000000000000000e+03 2.620505932730544e+03	-3.629186656326056e-03  2.525723361168776e-19 -3.629186656326056e-03	1.000000000000000e+00	26	1	28
29	-4.818969419255805e+02  1.000000000000000e+03  2.088594560183639e+03	 1.346273114904761e-02 -6.600546387163911e-18 -1.346273114904761e-02	1.000000000000000e+00	29	1	29
30	1.000000000000000e+03 1.000000000000000e+03 6.066976182580577e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	29	1	30
31	1.000000000000000e+03 3.933023817419428e+02 0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	29	1	31
32	6.500771786764037e+02 4.337956041834587e+01 0.000000000000000e+00	 1.325455587357283e-02  1.325455587357283e-02 -4.151233473380953e-19	1.000000000000000e+00	29	1	32
33	1.000000000000000e+03 8.092396625171423e+02 1.948944782387635e+03	-2.703580067681523e-18  1.820196723565459e-02  1.820196723565459e-02	1.000000000000000e+00	43	1	33
34	 1.000000000000000e+03 -1.000000000000000e+03  1.397051198704921e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	43	1	34
35	-1.000000000000000e+03 -1.000000000000000e+03  2.139705119870493e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	43	1	35
36	-1.000000000000000e+03  2.906697174751454e+02  3.430374837345637e+03	-1.023581136873109e-19  2.891794545575976e-03  2.891794545575976e-03	1.000000000000000e+00	43	1	36
