392
53
499
0	 3.142458965529481e+02 -2.704283503160278e+02  4.000000000000000e+03	-7.395514985546470e-03 -7.395514985546471e-03  1.259636259433070e-18	1.000000000000000e+00	463	1	0
1	1.000000000000000e+03 4.153257531310242e+02 4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	463	1	1
2	1.000000000000000e+03 1.000000000000000e+03 3.415325753131025e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	463	1	2
4	-1.000000000000000e+03 -8.399305000665197e+01  3.772718345987000e+03	 6.546686865670880e-18 -7.924355217255650e-03 -7.924355217255654e-03	1.000000000000000e+00	463	1	4
5	-1.000000000000000e+03 -1.000000000000000e+03  2.856711395993652e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	463	1	5
7	5.795104294339981e+02 1.000000000000000e+03 1.796997295235011e+03	 5.801678635179996e-03 -4.493981922709494e-19  5.801678635179996e-03	1.000000000000000e+00	463	1	7
8	1.000000000000000e+03 1.000000000000000e+03 2.217486865801013e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	463	1	8
9	 1.000000000000000e+03 -7.825131341989875e+02  4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	463	1	9
10	 7.825131341989878e+02 -1.000000000000000e+03  4.000000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	463	1	10
11	-5.593122300788983e+00 -1.000000000000000e+03  3.211893743500224e+03	-1.483743661083281e-03 -2.984183073102592e-20 -1.483743661083281e-03	1.000000000000000e+00	463	1	11
12	 1.000000000000000e+03 -1.458336842864879e+02  7.407272079192207e+02	-2.632828560818045e-18 -9.584038052707903e-04 -9.584038052707927e-04	1.000000000000000e+00	12	1	12
13	 1.000000000000000e+03 -8.865608922057086e+02  0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	12	1	13
14	 8.865608922057086e+02 -1.000000000000000e+03  0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	12	1	14
15	 1.595298782308306e+02 -1.000000000000000e+03  7.270310139748780e+02	 9.550910443067551e-03  1.705674349277682e-18 -9.550910443067551e-03	1.000000000000000e+00	12	1	15
